links,titles,autores,fecha_de_publicacion,idioma
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_0e3a34a0c1bfb0da65e124d273a8fcb6,Las condiciones laborales de las y los enfermeros en Argentina: entre la profesionalización y la precariedad del cuidado en la salud,"Aspiazu, Eliana Laura",2016,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/SEDICI_a3d774bb401fb3f6062011d0ab027922,Las huelgas de los estibadores portuarios en el sur santafesino en 1928,"Videla, Oscar;  Menotti, Paulo",2013,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/MemAca_26c2c74b3faa1eb9ec6e71c530d7df66,Las huelgas de los estibadores portuarios en el sur santafesino en 1928,"Videla, Oscar;  Menotti, Paulo",2013,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_ea599f0c41394b45188f5ff30ffba718,Las huelgas de los estibadores portuarios en el sur santafesino en 1928,"Videla, Oscar Ruben;  Menotti, Paulo Fernando",2013,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/RepHipUNR_e4930ebb42ec0dd2f1ea70debec36e87,Las huelgas de los estibadores portuarios en el sur santafesino en 1928,"Videla, Oscar;  Menotti, Paulo",2013,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_b392cc54887f435c61a64ab4a948bf19,Localización y tipología de hábitat en la política habitacional de Buenos Aires,"Di Virgilio, Maria Mercedes;  Rodriguez, Maria Carla;  Raspall Galli, Tomás Francisco;  Arqueros Mejica, Maria Soledad;  Rodríguez, Florencia;  Vitale, Pablo Julián;  Zapata, María Cecilia",2017,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/RepHipUNR_c4a9930537f08173862ea9002e558062,Los sindicatos y la educación pública en América Latina: el caso costarricense.,"Vargas Salazar, Guillermo",2008,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/RepHipUNR_5001afb5ac7a3f1fb00ba25bd588340a,Modalidades de subsistencia y desigualdades de género en hogares de jefatura femenina de Rosario,"Morandi, Mariela",2009,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_05b7d79fa01ca86309211171105d5f3b,Monitoreo de choiques,"Fernández, Cynthia;  Geremias Toscano, Nadia Belén;  Marino, Andrea Ivana",2017,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_aa6a7ee40eebc73e46c5e8294a5553f5,"Músicos en huelga: Asociacionismo profesional, trabajo y política durante el primer peronismo en Bahía Blanca (septiembre de 1946)","Caubet, María Noelia",2020,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_5387a6b9851af0f601c0ab881da46519,Nuevos escenarios productivos y consecuencias sobre los mercados de trabajo en el contexto de la reestructuración de la agricultura argentina,"Neiman, Guillermo Saul",2010,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/SEDICI_a25b563098cda0c304c828515ba31cff,Ocupaciones y movilidades en pueblos rurales de la Patagonia,"Bendini, Mónica;  Steimbreger, Norma",2011,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/MemAca_c9b1adfbabd21906d9ce938d30cbd40f,Ocupaciones y movilidades en pueblos rurales de la Patagonia : Una mirada desde lo agrario,"Bendini, Mónica;  Steimbreger, Norma",2011,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/SEDICI_f438c2e39e7ca27a8a251f618e7c1cc9,Pagos por rendimiento en las filiales argentinas de empresas multinacionales,"Delfini, Marcelo;  Cretini, Ignacio;  Quadrana, Alejandra",2019,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/RepHipUNR_a6ec12372f79481b1696e9a64029c4e7,Paternalismo empresarial y condiciones de vida en los ingenios tucumanos. Fines del siglo XIX y principios del XX,"Landaburu, Alejandra",2015,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/RepHipUNR_2223d1b53422ab95b2b80f4a70e1f75b,Presentación,"Rodriguez, Gloria Beatriz",2018,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/SEDICI_0955ebba411094a18ec25fe51a41743f,Programa de prevención y de erradicación del trabajo infantil y adolescente,"Montesinos Arruti, María Natalia",2015,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_67792fe296d262f8f1798e1ce9f19510,Salario mínimo y negociación colectiva en la determinación salarial: interacciones entre políticas...,"Goldschvartz, Adriana Julieta",2019,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_3cbe8d00305d5a3dd98685031c2d3d12,Sistemas de pagamentos variáveis e representantes sindicais em empresas multinacionais na Argentina,"Delfini, Marcelo Fabián;  Quadrana, Alejandra Paula;  Cretini, Ignacio Oscar",2017,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_52cb220454b3f56e00fb960ddcca6920,Suelos y Geomorfología,"Rostagno, Cesar Mario;  Bouza, Pablo Jose;  Videla, Lina Sonia;  Sain, Claudia Leticia;  Cortes, Estela Guadalupe",2017,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/RepHipUNR_15dec941acb25abaa8ebc8f76695e71f,Temporalidades fragmentadas: La experiencia social de trabajadores petroleros de la Cuenca Neuquina,"García, Analía",2009,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/CONICETDig_69dd8228adc8691e719634e44a251526,Trabajo infantil rural en Argentina,"Silva, Maria Alejandra",2010,español
https://repositoriosdigitales.mincyt.gob.ar/vufind/Record/BDUBAFCE_c1bde0b049af657b1dcb7d770239de08,Una aproximación a las causas del proceso inflacionario argentino reciente,"Zack, Guido;  Montané, Martín;  Kulfas, Matías",2017,español
